onset,caseid,infector
7,4,0
9,10,0
10,1,0
10,2,0
12,5,0
12,8,0
12,9,0
12,57,4
13,6,0
13,7,0
13,14,10
13,142,4
14,3,0
16,12,1
16,190,9
17,126,1
17,327,10
17,579,8
17,653,10
17,1172,2
17,1423,4
18,19,14
18,269,2
18,362,3
18,488,2
18,781,10
18,782,14
18,855,5
19,21,10
19,141,2
19,167,2
19,217,14
19,310,190
19,700,9
19,1032,4
20,16,10
20,17,1
20,268,2
20,854,5
21,26,8
21,33,7
21,48,4
21,56,1
21,58,6
21,83,4
21,271,14
21,363,10
21,412,2
21,478,269
21,654,12
22,38,1
22,55,1
22,60,10
22,143,8
22,270,12
22,442,269
22,580,10
22,651,6
22,779,2
22,1424,7
22,1425,7
23,15,10
23,25,3
23,39,4
23,40,8
23,62,2
23,144,10
23,168,7
23,237,1
23,239,9
23,577,2
23,581,14
23,699,7
23,1047,190
24,34,8
24,47,3
24,59,8
24,63,3
24,84,6
24,94,7
24,110,3
24,140,2
24,216,5
24,328,12
25,43,7
25,53,14
25,191,10
25,238,1
25,267,2
25,856,8
25,1440,190
25,1517,7
26,11,1
26,23,12
26,74,9
26,76,12
26,113,33
26,115,34
26,150,48
26,230,190
26,413,3
26,529,10
26,1428,58
27,13,9
27,18,3
27,20,7
27,97,14
27,414,5
27,465,7
27,546,190
27,578,5
27,652,7
27,780,8
27,879,190
27,1242,6
28,95,7
28,371,83
28,380,141
28,489,6
28,528,10
28,661,144
28,1102,3
29,50,9
29,119,56
29,180,141
29,340,144
29,858,15
29,874,141
29,946,23
29,950,83
30,29,7
30,32,7
30,49,7
30,78,16
30,85,7
30,98,16
30,183,141
30,367,55
30,416,15
30,538,140
30,878,190
30,1007,699
30,1073,488
30,1173,3
30,1362,465
