"onset","caseid","infector"
7,9,0
8,4,0
8,7,0
9,2,0
9,3,0
9,5,0
11,1,0
11,8,0
11,10,0
13,6,0
13,13,2
13,32,9
14,17,7
15,21,7
18,18,7
18,20,7
18,22,10
18,23,10
18,31,8
19,19,7
19,24,10
20,15,7
20,29,4
21,11,2
21,16,7
21,28,1
22,12,2
23,14,7
24,27,18
25,25,10
25,33,10
26,30,8
26,34,17
34,26,16
