"onset","caseid","infector"
6,3,1
6,4,1
9,8,4
11,2,1
12,10,4
14,9,4
17,14,8
19,5,1
19,6,3
19,7,4
25,13,8
27,12,7
28,17,14
35,11,5
35,15,11
43,16,11
45,18,17
45,19,17
